Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Distance,Duration_Minutes,Duration_Hours,Route_Type
52076,MVJ,MAVLI JN.,MJ,MARWAR JN.,202,355.0,5.916666666666667,Medium
52171,GWO,GWALIOR (NG),SOE,SHEOPUR KALA,186,655.0,10.916666666666666,Medium
52172,SOE,SHEOPUR KALA,GWO,GWALIOR (NG),186,660.0,11.0,Medium
52173,GWO,GWALIOR (NG),SBL,SABALGARH,92,310.0,5.166666666666667,Short
52174,SBL,SABALGARH,GWO,GWALIOR (NG),92,300.0,5.0,Short
52175,GWO,GWALIOR (NG),SBL,SABALGARH,92,280.0,4.666666666666667,Short
52176,SBL,SABALGARH,GWO,GWALIOR (NG),92,280.0,4.666666666666667,Short
52177,SBL,SABALGARH,SOE,SHEOPUR KALA,103,340.0,5.666666666666667,Medium
52178,SOE,SHEOPUR KALA,SBL,SABALGARH,103,330.0,5.5,Medium
52179,DHOA,DHOLPUR (NG),SRMT,SIRMUTTRA,70,180.0,3.0,Short
52180,SRMT,SIRMUTTRA,DHOA,DHOLPUR (NG),70,175.0,2.9166666666666665,Short
52181,DHOA,DHOLPUR (NG),TPO,TANTPUR,58,145.0,2.4166666666666665,Short
52182,TPO,TANTPUR,BARI,BARI,27,70.0,1.1666666666666667,Short
52183,BARI,BARI,SRMT,SIRMUTTRA,39,100.0,1.6666666666666667,Short
52184,SRMT,SIRMUTTRA,DHOA,DHOLPUR (NG),70,175.0,2.9166666666666665,Short
52205,PBE,PILIBHIT JN.,MLN,MAILANI JN.,67,135.0,2.25,Short
52206,MLN,MAILANI JN.,PBE,PILIBHIT JN.,67,130.0,2.1666666666666665,Short
52207,PBE,PILIBHIT JN.,MLN,MAILANI JN.,67,135.0,2.25,Short
52208,MLN,MAILANI JN.,PBE,PILIBHIT JN.,67,150.0,2.5,Short
52221,PBE,PILIBHIT JN.,MLN,MAILANI JN.,67,145.0,2.4166666666666665,Short
52222,MLN,MAILANI JN.,PBE,PILIBHIT JN.,67,145.0,2.4166666666666665,Short
52223,PBE,PILIBHIT JN.,MLN,MAILANI JN.,67,140.0,2.3333333333333335,Short
52224,MLN,MAILANI JN.,PBE,PILIBHIT JN.,67,135.0,2.25,Short
52225,PBE,PILIBHIT JN.,MLN,MAILANI JN.,67,120.0,2.0,Short
52226,MLN,MAILANI JN.,PBE,PILIBHIT JN.,67,135.0,2.25,Short
52229,SZP,SHAHJAHANPUR,PBE,PILIBHIT JN.,84,170.0,2.8333333333333335,Short
52230,PBE,PILIBHIT JN.,SZP,SHAHJAHANPUR,84,195.0,3.25,Short
52231,PBE,PILIBHIT JN.,SZP,SHAHJAHANPUR,84,160.0,2.6666666666666665,Short
52232,SZP,SHAHJAHANPUR,PBE,PILIBHIT JN.,84,170.0,2.8333333333333335,Short
52233,PBE,PILIBHIT JN.,SZP,SHAHJAHANPUR,83,170.0,2.8333333333333335,Short
52234,SZP,SHAHJAHANPUR,PBE,PILIBHIT JN.,84,195.0,3.25,Short
52235,PBE,PILIBHIT JN.,SZP,SHAHJAHANPUR,83,185.0,3.0833333333333335,Short
52236,SZP,SHAHJAHANPUR,PBE,PILIBHIT JN.,84,165.0,2.75,Short
52239,TQN,TIKUNIA,MLN,MAILANI JN.,78,190.0,3.1666666666666665,Short
52240,MLN,MAILANI JN.,TQN,TIKUNIA,78,150.0,2.5,Short
52241,BRK,BAHRAICH,MLN,MAILANI JN.,205,450.0,7.5,Medium
52242,MLN,MAILANI JN.,BRK,BAHRAICH,205,420.0,7.0,Medium
52251,BRK,BAHRAICH,MLN,MAILANI JN.,205,435.0,7.25,Medium
52252,MLN,MAILANI JN.,BRK,BAHRAICH,205,435.0,7.25,Medium
52253,BRK,BAHRAICH,MLN,MAILANI JN.,205,480.0,8.0,Medium
52254,MLN,MAILANI JN.,BRK,BAHRAICH,205,410.0,6.833333333333333,Medium
52255,BRK,BAHRAICH,MLN,MAILANI JN.,205,435.0,7.25,Medium
52256,MLN,MAILANI JN.,BRK,BAHRAICH,205,390.0,6.5,Medium
52257,BRK,BAHRAICH,MLN,MAILANI JN.,205,390.0,6.5,Medium
52258,MLN,MAILANI JN.,BRK,BAHRAICH,205,380.0,6.333333333333333,Medium
52259,BRK,BAHRAICH,MLN,MAILANI JN.,205,435.0,7.25,Medium
52260,MLN,MAILANI JN.,BRK,BAHRAICH,205,410.0,6.833333333333333,Medium
52263,BRK,BAHRAICH,NPR,NEPALGANJ RO,54,120.0,2.0,Short
52264,NPR,NEPALGANJ RO,BRK,BAHRAICH,54,120.0,2.0,Short
52265,BRK,BAHRAICH,NPR,NEPALGANJ RO,54,120.0,2.0,Short
52266,NPR,NEPALGANJ RO,BRK,BAHRAICH,54,120.0,2.0,Short
52267,BRK,BAHRAICH,NPR,NEPALGANJ RO,54,135.0,2.25,Short
52268,NPR,NEPALGANJ RO,BRK,BAHRAICH,54,120.0,2.0,Short
52297,PBE,PILIBHIT JN.,SZP,SHAHJAHANPUR,84,135.0,2.25,Short
52298,SZP,SHAHJAHANPUR,PBE,PILIBHIT JN.,84,165.0,2.75,Short
52451,KLK,KALKA,SML,SHIMLA,95,280.0,4.666666666666667,Short
52452,SML,SHIMLA,KLK,KALKA,95,285.0,4.75,Short
52453,KLK,KALKA,SML,SHIMLA,95,305.0,5.083333333333333,Short
52454,SML,SHIMLA,KLK,KALKA,95,300.0,5.0,Short
52455,KLK,KALKA,SML,SHIMLA,95,320.0,5.333333333333333,Short
52456,SML,SHIMLA,KLK,KALKA,95,345.0,5.75,Short
52457,KLK,KALKA,SML,SHIMLA,95,325.0,5.416666666666667,Short
52458,SML,SHIMLA,KLK,KALKA,95,345.0,5.75,Short
52461,PTK,PATHANKOT JN,JMKR,JAWALAMUKHI,93,235.0,3.9166666666666665,Short
52462,JMKR,JAWALAMUKHI,PTK,PATHANKOT JN,104,225.0,3.75,Medium
52463,PTK,PATHANKOT JN,BJPL,BAIJNATH PAP,156,405.0,6.75,Medium
52464,BJPL,BAIJNATH PAP,PTK,PATHANKOT JN,176,410.0,6.833333333333333,Medium
52465,PTK,PATHANKOT JN,BJPL,BAIJNATH PAP,162,435.0,7.25,Medium
52466,BJPL,BAIJNATH PAP,PTK,PATHANKOT JN,185,420.0,7.0,Medium
52467,PTK,PATHANKOT JN,BJPL,BAIJNATH PAP,162,455.0,7.583333333333333,Medium
52468,BJPL,BAIJNATH PAP,PTK,PATHANKOT JN,185,375.0,6.25,Medium
52469,PTK,PATHANKOT JN,BJPL,BAIJNATH PAP,164,400.0,6.666666666666667,Medium
52470,BJPL,BAIJNATH PAP,PTK,PATHANKOT JN,169,380.0,6.333333333333333,Medium
52471,PTK,PATHANKOT JN,JDNX,JOGINDER NAG,192,550.0,9.166666666666666,Medium
52472,JDNX,JOGINDER NAG,PTK,PATHANKOT JN,215,610.0,10.166666666666666,Medium
52473,PTK,PATHANKOT JN,JDNX,JOGINDER NAG,191,585.0,9.75,Medium
52474,JDNX,JOGINDER NAG,PTK,PATHANKOT JN,213,615.0,10.25,Medium
52540,DJ,DARJEELING,NJP,NEW JALPAIGU,87,430.0,7.166666666666667,Short
52541,NJP,NEW JALPAIGU,DJ,DARJEELING,87,425.0,7.083333333333333,Short
52570,DJ,DARJEELING,KGN,KURSEONG,30,195.0,3.25,Short
52571,KGN,KURSEONG,DJ,DARJEELING,30,225.0,3.75,Short
52587,KGN,KURSEONG,DJ,DARJEELING,30,155.0,2.5833333333333335,Short
52588,DJ,DARJEELING,KGN,KURSEONG,30,150.0,2.5,Short
52591,DJ,DARJEELING,DJ,DARJEELING,12,105.0,1.75,Short
52592,DJ,DARJEELING,DJ,DARJEELING,12,125.0,2.0833333333333335,Short
52593,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52594,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52595,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52596,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52597,DJ,DARJEELING,DJ,DARJEELING,12,105.0,1.75,Short
52598,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52599,DJ,DARJEELING,DJ,DARJEELING,12,120.0,2.0,Short
52911,RUJ,RANUJ,ADIJ,AHMEDABAD JN,134,265.0,4.416666666666667,Medium
52912,ADIJ,AHMEDABAD JN,RUJ,RANUJ,134,235.0,3.9166666666666665,Medium
52913,RUJ,RANUJ,ADIJ,AHMEDABAD JN,134,290.0,4.833333333333333,Medium
52914,ADIJ,AHMEDABAD JN,RUJ,RANUJ,134,255.0,4.25,Medium
52929,VRLF,VERAVAL MG,DASF,DHASA JN (MG,189,420.0,7.0,Medium
52930,DASF,DHASA JN (MG,VRLF,VERAVAL MG,189,355.0,5.916666666666667,Medium
52931,JLRF,JETALSAR JN,DASF,DHASA JN (MG,104,155.0,2.5833333333333335,Medium
52932,DASF,DHASA JN (MG,JLRF,JETALSAR JN,104,145.0,2.4166666666666665,Medium
52933,VRLF,VERAVAL MG,DASF,DHASA JN (MG,189,380.0,6.333333333333333,Medium
52934,BTDF,BOTAD JN (MG,GG,GANDHIGRAM,154,285.0,4.75,Medium
52935,GG,GANDHIGRAM,BTDF,BOTAD JN (MG,154,265.0,4.416666666666667,Medium
52938,BTDF,BOTAD JN (MG,ADIJ,AHMEDABAD JN,175,300.0,5.0,Medium
52939,ADIJ,AHMEDABAD JN,BTDF,BOTAD JN (MG,175,310.0,5.166666666666667,Medium
52940,BTDF,BOTAD JN (MG,GG,GANDHIGRAM,154,285.0,4.75,Medium
52941,GG,GANDHIGRAM,BTDF,BOTAD JN (MG,154,265.0,4.416666666666667,Medium
52942,BTDF,BOTAD JN (MG,GG,GANDHIGRAM,154,220.0,3.6666666666666665,Medium
